genre,text,clique_id,v,e,index
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,1,0,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,2,0,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,3,0.16666666666666666,0.0034482758620689655,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,4,0.3333333333333333,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,5,0.1,0.00205761316872428,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,6,0.2,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,7,0.125,0.004140786749482402,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,8,0.3333333333333333,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,9,0.3076923076923077,0.001388888888888889,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,10,0.23076923076923078,0.00425531914893617,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,11,0.25,0.0010384215991692627,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,12,0.16666666666666666,0.001652892561983471,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,13,0.3181818181818182,0.0011019283746556473,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,14,0.25,0.0022371364653243847,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,15,0.42857142857142855,0.002533783783783784,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,16,0.5,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,17,0.4166666666666667,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,18,0.45454545454545453,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,19,0.3333333333333333,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,20,0.4444444444444444,9.80392156862745e-4,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,21,0.4444444444444444,0.0014354066985645933,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,22,0.5454545454545454,8.733624454148472e-4,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,23,1,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,24,0.2,3.3875338753387534e-4,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,25,0.25,0.0012674271229404308,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,26,0.42857142857142855,9.433962264150943e-4,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,27,0.3333333333333333,9.157509157509158e-4,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,28,0.4,0,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,29,0.75,0.0017241379310344827,global
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,30,0.14285714285714285,0.0011001100110011,global
