genre,text,clique_id,v,e,index,n_sentences
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,2,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,3,0.16666666666666666,0.006896551724137931,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,4,0.3333333333333333,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,5,0.1,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,6,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,7,0.125,0.00234192037470726,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,8,0.3333333333333333,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,9,0.3076923076923077,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryDublin-hepple_clean.xml,10,0.23076923076923078,0.0012658227848101266,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,2,0.043478260869565216,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,3,0.2727272727272727,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,4,0.07692307692307693,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,5,0.07692307692307693,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,6,0.3333333333333333,0.001639344262295082,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,7,0.23076923076923078,0.005479452054794521,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,8,0.35714285714285715,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,9,0.2,0.005376344086021506,global,10
berlitz,data/oanc_xml/berlitz_HistoryEdinburgh-hepple_clean.xml,10,0.6363636363636364,0.010416666666666666,global,10
