genre,text,index,type,value
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,pairwise,e,0.0017375735834081953
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,global,v,0.5827449311317646
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,global,e,6.447434887322105e-4
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,local,v,0.068353930893545925
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,local,e,0.0021528017704613915
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,pairwise,v,0.035345645235599396
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,pairwise,e,0.0019250387249332178
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,global,v,0.7499584386199836
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,global,e,0.0011047045088517448
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,local,v,0.196625129447871
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,local,e,0.003016246954489771
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,pairwise,v,0.10015210575860316
biomed,data/oanc_xml/biomed_1468-6708-3-1-hepple_clean.xml,pairwise,e,0.002721757146504905
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,global,v,0.7127961921875021
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,global,e,7.204404625621736e-4
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,local,v,0.180119990809087
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,local,e,0.0014603420928936204
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,pairwise,v,0.10309721101865031
biomed,data/oanc_xml/biomed_1468-6708-3-10-hepple_clean.xml,pairwise,e,0.001089165084102333
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,global,v,0.6617834867247003
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,global,e,6.7735911179211e-4
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,local,v,0.1367244156611299
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,local,e,0.0017839744573555354
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,pairwise,v,0.08269367436873853
biomed,data/oanc_xml/biomed_1468-6708-3-3-hepple_clean.xml,pairwise,e,0.0013245491660018058
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,global,v,0.7195717070785075
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,global,e,0.001402204231324131
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,local,v,0.17705123466224063
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,local,e,0.0033038072525784956
